Step;Time;Temp;KinEng;PotEng;TotEng;Press;Lx;Density
0;0;297.6972;7098.143;1526.2773;8624.4203;327.31357;64.051305;0.72185304
250;250;302.98866;7224.3099;990.26769;8214.5776;228.72455;64.110283;0.71986266
500;500;297.13363;7084.7056;993.70596;8078.4116;396.28623;64.077097;0.72098173
750;750;297.61689;7096.2282;1106.8468;8203.0749;135.57386;64.005334;0.72340953
1000;1000;295.49082;7045.5352;974.4272;8019.9624;316.45554;64.067325;0.72131167
1250;1250;302.22054;7205.9952;935.02369;8141.0189;228.12651;64.144646;0.71870636
1500;1500;297.44297;7092.0814;873.51831;7965.5998;-83.064326;64.177135;0.71761541
1750;1750;301.91492;7198.7084;955.28406;8153.9924;37.061319;64.12794;0.71926821
2000;2000;294.6918;7026.4839;985.62729;8012.1112;143.43561;64.13288;0.71910203
2250;2250;297.86678;7102.1864;945.60195;8047.7884;153.13084;64.167514;0.71793824
2500;2500;299.62052;7144.0018;889.01548;8033.0173;585.58009;64.044758;0.72207442
2750;2750;290.13651;6917.8698;835.84463;7753.7144;334.28575;63.993754;0.72380233
3000;3000;296.17441;7061.8344;975.45867;8037.2931;165.66571;64.004854;0.72342582
3250;3250;297.42655;7091.6899;985.788;8077.4779;51.589049;64.129937;0.71920103
3500;3500;300.13274;7156.2148;932.37858;8088.5933;269.52787;64.080723;0.72085935
3750;3750;297.07083;7083.2083;992.15753;8075.3659;303.00933;64.108558;0.71992077
4000;4000;294.57242;7023.6373;886.54573;7910.183;360.0583;64.057797;0.7216336
4250;4250;299.71784;7146.3221;924.53958;8070.8617;745.52287;63.88621;0.72746375
4500;4500;294.06386;7011.5116;892.48755;7903.9992;448.07429;64.02574;0.72271807
4750;4750;296.73602;7075.2252;971.92288;8047.1481;48.540872;64.140718;0.71883844
5000;5000;295.91406;7055.6269;1022.8563;8078.4831;102.34369;63.997411;0.72367825
5250;5250;295.91049;7055.5417;904.31717;7959.8589;-11.079381;64.042989;0.72213427
5500;5500;295.752;7051.7627;1071.4973;8123.26;-20.583002;64.074103;0.72108277
5750;5750;294.3793;7019.0328;954.16713;7973.1999;179.55901;64.142658;0.71877319
6000;6000;301.62851;7191.8793;954.89312;8146.7724;213.24145;64.139472;0.71888033
6250;6250;296.00773;7057.8603;935.47655;7993.3368;481.88293;64.061509;0.72150814
6500;6500;302.63341;7215.8395;1036.8413;8252.6808;242.803;64.045294;0.72205631
6750;6750;294.08759;7012.0774;997.87109;8009.9485;248.02269;64.110433;0.71985763
7000;7000;297.78104;7100.1422;1058.4985;8158.6407;135.47767;64.088102;0.72061035
7250;7250;297.24438;7087.3462;1032.2204;8119.5666;328.33354;64.126544;0.71931518
7500;7500;296.59067;7071.7594;1118.924;8190.6835;168.82595;64.187217;0.71727731
7750;7750;297.1938;7086.1402;1079.4425;8165.5827;513.00837;64.170913;0.71782418
8000;8000;297.47914;7092.9439;1049.8136;8142.7575;561.82112;64.179577;0.71753351
8250;8250;300.26257;7159.3104;1027.8297;8187.1401;386.1;64.165679;0.71799984
8500;8500;296.88021;7078.6631;1022.0798;8100.7429;201.46353;64.163436;0.71807515
8750;8750;305.36653;7281.0068;967.07681;8248.0836;282.68447;64.053679;0.72177276
9000;9000;296.72554;7074.9753;947.32111;8022.2964;-3.5729598;64.101261;0.72016668
9250;9250;295.82164;7053.4232;1050.9738;8104.397;168.5842;64.065216;0.72138292
9500;9500;295.45764;7044.744;981.33445;8026.0785;119.06461;64.091338;0.72050121
9750;9750;295.62469;7048.7273;1013.3883;8062.1156;537.1726;64.104465;0.72005868
10000;10000;299.81109;7148.5456;1091.0709;8239.6164;551.57429;64.111402;0.71982497
10250;10250;296.8483;7077.9022;962.7569;8040.6591;330.58753;64.122268;0.71945909
10500;10500;299.48292;7140.7208;1001.2535;8141.9743;409.46738;64.026417;0.72269515
10750;10750;299.9839;7152.666;994.01996;8146.6859;155.19469;64.139933;0.7188648
11000;11000;299.25659;7135.3244;994.98688;8130.3113;29.385698;64.215421;0.71633262
11250;11250;298.35794;7113.8973;939.709;8053.6063;53.941972;64.115801;0.71967683
11500;11500;299.0121;7129.495;891.78237;8021.2774;196.59815;63.955973;0.72508579
11750;11750;297.65516;7097.1407;935.83725;8032.978;569.74633;63.911143;0.7266127
12000;12000;300.50453;7165.0796;876.52823;8041.6078;422.31102;64.094416;0.72039743
12250;12250;299.29527;7136.2465;974.4704;8110.717;114.67428;64.057888;0.72163052
12500;12500;298.69593;7121.9563;889.56369;8011.52;64.678054;63.985431;0.72408482
12750;12750;297.08587;7083.5668;954.97159;8038.5383;28.122221;64.036978;0.72233764
13000;13000;300.23992;7158.7704;1043.6609;8202.4313;-110.29339;64.160053;0.71818873
13250;13250;295.65606;7049.4751;1002.6149;8052.09;44.02987;64.140507;0.71884551
13500;13500;298.94672;7127.936;1063.3621;8191.2981;395.46311;64.053068;0.72179343
13750;13750;292.17965;6966.5853;908.58621;7875.1715;312.74426;64.181949;0.71745396
14000;14000;299.55903;7142.5356;956.85251;8099.3881;227.27482;64.067203;0.72131581
14250;14250;295.27053;7040.2827;993.24801;8033.5307;229.816;63.981122;0.7242311
14500;14500;299.83833;7149.195;848.16657;7997.3616;211.83253;64.044965;0.72206742
14750;14750;297.3507;7089.8813;1008.7862;8098.6675;344.63842;63.995276;0.72375068
15000;15000;292.80187;6981.4213;879.27019;7860.6915;427.89149;64.033944;0.72244032
15250;15250;298.12923;7108.4441;1036.2854;8144.7295;319.05256;64.112461;0.7197893
15500;15500;296.17855;7061.9331;1007.5847;8069.5178;-29.472568;64.111836;0.71981035
15750;15750;297.61096;7096.0867;943.85538;8039.9421;280.56573;63.955503;0.72510178
16000;16000;303.19109;7229.1367;1090.2287;8319.3655;-49.113899;64.076089;0.72101575
16250;16250;295.70712;7050.6927;997.65996;8048.3527;130.17554;64.102111;0.720138
16500;16500;299.72187;7146.4184;1042.7529;8189.1713;143.41115;64.090313;0.72053579
16750;16750;296.7189;7074.8169;878.49881;7953.3157;458.7957;63.958242;0.72500865
17000;17000;300.94802;7175.6541;905.28754;8080.9416;615.46519;63.918863;0.72634945
17250;17250;294.66902;7025.9406;922.27675;7948.2173;441.03324;64.091384;0.72049968
17500;17500;297.57089;7095.1314;1062.6237;8157.7551;309.8836;64.167802;0.71792858
17750;17750;297.12658;7084.5375;1004.6476;8089.1851;108.94888;64.062061;0.72148949
18000;18000;293.49154;6997.8655;962.50399;7960.3695;-24.874722;63.988193;0.72399104
18250;18250;299.43301;7139.5308;931.211;8070.7418;155.55895;64.04788;0.72196884
18500;18500;294.64953;7025.476;785.4156;7810.8916;225.06471;64.014972;0.72308282
