,1 1100 -9.18678e-05
0,2 1100 -7.21659e-05
1,3 1100 -5.92771e-05
2,4 1100 -5.44215e-05
3,5 1100 -4.50736e-05
4,6 1100 -3.69678e-05
5,7 1100 -2.6316e-05
6,8 1100 -1.9522e-05
7,9 1100 -9.30728e-06
8,10 1100 -4.90461e-06
9,11 1100 1.53807e-06
10,12 1100 8.51324e-06
11,13 1100 1.74215e-05
12,14 1100 2.20659e-05
13,15 1100 3.34988e-05
14,16 1100 4.0239e-05
15,17 1100 4.66819e-05
16,18 1100 5.36577e-05
17,19 1100 6.20963e-05
18,20 1100 7.11261e-05
19,21 1100 8.77247e-05
20,22 1100 7.03732e-05
21,23 1100 5.91238e-05
22,24 1100 5.04826e-05
23,25 1100 4.18395e-05
24,26 1100 3.5318e-05
25,27 1100 2.90658e-05
26,28 1100 2.48979e-05
27,29 1100 1.67772e-05
28,30 1100 8.15818e-06
29,31 1100 -1.10035e-06
30,32 1100 -7.57642e-06
31,33 1100 -1.58386e-05
32,34 1100 -2.43214e-05
33,35 1100 -3.18167e-05
34,36 1100 -3.90562e-05
35,37 1100 -4.62883e-05
36,38 1100 -5.63627e-05
37,39 1100 -6.54994e-05
38,40 1100 -7.14998e-05
